Readable ID,Firestore ID,Title,Category Readable ID,Category Name,Category Level,Date,Tags,,Tag,About,Who,Who-code,What,What-code,When,Where,Type,Title
what-is-your-favorite-holiday,qfHj9FdxvT4FtsH7tiNp,What is your favorite holiday?,what-is-your-favorite-holiday,What is your favorite holiday?,3,2025-05-23T00:38:05.881Z,,,Advice,,Self,2,Personal,29,,,Reflection,THEMES > Advice > What is your favorite holiday?
what-is-your-greatest,WgmvfN7WdSIaSiAnhzwZ,What is your greatest achievement?,what-is-your-greatest,What is your greatest achievement?,3,2025-05-23T00:37:50.429Z,,,Advice,,Self,2,Personal,29,,,Reflection,THEMES > Advice > What is your greatest achievement?
what-is-your-greatest,X6UHlnUY3vUlcO7Wyon4,What is your greatest achievement?,what-is-your-greatest,What is your greatest achievement?,3,2025-05-23T00:38:19.758Z,,,Advice,,Self,2,Personal,29,,,Reflection,THEMES > Advice > What is your greatest achievement?
what-makes-you-optimistic-or,tlhmWJ2217srszdWRn2f,What makes you Optimistic or Pessimistic about the younger generation,what-makes-you-optimistic-or,What makes you Optimistic or Pessimistic about the younger generation,3,2025-05-23T00:37:53.294Z,,,Advice,,Self,2,Personal,29,,,Reflection,THEMES > Advice > What makes you Optimistic or Pessimistic about the younger generation
what-were-your-hobbies,j4FrtC0JLkaG0Kg0lgY2,What were your hobbies?,what-were-your-hobbies,What were your hobbies?,3,2025-05-23T00:38:18.832Z,,,Advice,,Self,2,Personal,29,,,Reflection,THEMES > Advice > What were your hobbies?
who-did-you-look-up-to-then,aITGTeBZvYvYxlUT9YCS,Who did you look up to then and now?,who-did-you-look-up-to-then,Who did you look up to then and now?,3,2025-05-23T00:37:54.908Z,,,Advice,,Self,2,Personal,29,,,Reflection,THEMES > Advice > Who did you look up to then and now?
who-had-the-biggest-influence,xmgmJ4Y69d4XhkcRcCUd,Who had the biggest influence on your life?,who-had-the-biggest-influence,Who had the biggest influence on your life?,3,2025-05-23T00:38:21.198Z,,,Advice,,Self,2,Personal,29,,,Reflection,THEMES > Advice > Who had the biggest influence on your life?
how-to-win-at-office-politics,bnDdjgoHAlgH1C1IiTLn,How to Win at Office Politics.,how-to-win-at-office-politics,How to Win at Office Politics.,4,2025-05-23T00:37:39.201Z,,,Books,,Self,2,Books,81,,,Story,THEMES > Books > How to Win at Office Politics.
bottle-collecting,7Je1ltnPrRG9hrY4sMRr,Bottle Collecting,bottle-collecting,Bottle Collecting,4,2025-05-23T00:38:32.982Z,,,Career,,Self,2,Career,55,,,Story,Adulthood > Career > What were your first odd jobs? > Bottle Collecting
cutting-grass,JjszCoPbiGW9SEXDcwy8,Cutting Grass,cutting-grass,Cutting Grass,4,2025-05-23T00:38:10.798Z,,,Career,,Self,2,Career,55,,,Story,Adulthood > Career > What were your first odd jobs? > Cutting Grass
lawn-service,5LHnxdIVNH1G3Og4Ld8k,Lawn Service,lawn-service,Lawn Service,4,2025-05-23T00:37:58.687Z,,,Career,,Self,2,Career,55,,,Story,Adulthood > Career > What were your first odd jobs? > Lawn Service
not-ready-for-cfo,5OIlLBRuKyXoH6CPZJ8J,Not Ready for CFO,not-ready-for-cfo,Not Ready for CFO,4,2025-05-23T00:38:07.449Z,,,Career,,Self,2,Career,55,,,Story,Adulthood > Career > Harris/3M > Not Ready for CFO
pool-cleaning,AS3RYPltjJa4Rj6UMMqq,Pool Cleaning,pool-cleaning,Pool Cleaning,4,2025-05-23T00:38:30.861Z,,,Career,,Self,2,Career,55,,,Story,Adulthood > Career > What was your first real job? > Pool Cleaning
screen-printing,660eKAcpFtgoX8P9g3CG,Screen Printing,screen-printing,Screen Printing,4,2025-05-23T00:38:31.104Z,,,Career,,Self,2,Career,55,,,Story,Adulthood > Career > What was your first real job? > Screen Printing
the-never-ending-lawn,xnyuUNqepBPYeUOO0YGz,The Never-Ending Lawn,the-never-ending-lawn,The Never-Ending Lawn,4,2025-05-23T00:37:39.363Z,,,Career,,Self,2,Career,55,,,Story,Adulthood > Career Reflection > Did you ever quit a job? > The Never-Ending Lawn
what-was-your-first-real-job,0h9IKgXv6DfRFjinifkC,What was your first real job?,what-was-your-first-real-job,What was your first real job?,3,2025-05-23T00:38:25.160Z,,,Career,,Self,2,Career,55,,,Story,Adulthood > Career > What was your first real job?
what-were-your-first-odd-jobs,3BKMXj7S8WRPyWAfqMvj,What were your first odd jobs?,what-were-your-first-odd-jobs,What were your first odd jobs?,3,2025-05-23T00:37:57.430Z,,,Career,,Self,2,Career,55,,,Story,Adulthood > Career > What were your first odd jobs?
greeting-cards,3GJSkAd0nJ3yO2HMPE9R,Greeting Cards,greeting-cards,Greeting Cards,4,2025-05-23T00:38:22.350Z,,,Career,,Self,2,Career,55,,,Story,Adulthood > Career > What were your first odd jobs? > Greeting Cards
craig-niemiec,bYRBc0x92Skx0KX5HDqb,Craig Niemiec,craig-niemiec,Craig Niemiec,4,2025-05-23T00:38:19.209Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > Who was your worst boss? > Craig Niemiec
did-you-ever-quit-a-job,AAdrvysDmlFDf1eugdRr,Did you ever quit a job?,did-you-ever-quit-a-job,Did you ever quit a job?,3,2025-05-23T00:38:00.317Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > Did you ever quit a job?
first-real-firing,XepWMWG9uaEw2tDdQsRA,First Real Firing,first-real-firing,First Real Firing,4,2025-05-23T00:38:09.832Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career > What was your first real job? > First Real Firing
how-did-priorities-shift,pkaplC3SRPlO0WOxQFhr,How did priorities shift?,how-did-priorities-shift,How did priorities shift?,3,2025-05-23T00:37:55.725Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > How did priorities shift?
how-did-you-adapt,3nNjwi9TUNdqetLEWtU4,How did you adapt?,how-did-you-adapt,How did you adapt?,3,2025-05-23T00:37:53.458Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > How did you adapt?
how-did-you-plan-career,iJ6VaKRAJELZ0Z3OEFVD,How did you plan career transitions?,how-did-you-plan-career,How did you plan career transitions?,3,2025-05-23T00:37:37.231Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > How did you plan career transitions?
how-did-you-prepare-for-change,WEwKEuqBkatJiGdDgGJo,How did you prepare for change?,how-did-you-prepare-for-change,How did you prepare for change?,3,2025-05-23T00:38:28.134Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > How did you prepare for change?
how-did-your-industry-change,FTErmH5MHCmbfQqyD1ja,How did your industry change?,how-did-your-industry-change,How did your industry change?,3,2025-05-23T00:37:55.479Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > How did your industry change?
how-did-your-leadership-evolve,utl5uuaomBE2gLgewTaG,How did your leadership evolve?,how-did-your-leadership-evolve,How did your leadership evolve?,3,2025-05-23T00:38:26.209Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > How did your leadership evolve?
jerry-pierson,xeyhxnbSl7ReLA6VD9Ro,Jerry Pierson,jerry-pierson,Jerry Pierson,4,2025-05-23T00:37:45.066Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > Who was your worst boss? > Jerry Pierson
tom-campbell,D3qBoiAn9kEJ8pdkbQRH,Tom Campbell,tom-campbell,Tom Campbell,4,2025-05-23T00:37:41.514Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > Who was your worst boss? > Tom Campbell
were-you-ever-fired,jKve72Rat1fqqprQ7AzL,Were you ever fired,were-you-ever-fired,Were you ever fired,3,2025-05-23T00:38:05.115Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > Were you ever fired
what-are-your-career-regrets,l0TdmU3g3FMbHWHOPGV4,What are your career regrets?,what-are-your-career-regrets,What are your career regrets?,3,2025-05-23T00:38:17.859Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > What are your career regrets?
what-career-regrets-do-you,GSHpbfosnzoMzeHh9jkK,What career regrets do you have?,what-career-regrets-do-you,What career regrets do you have?,3,2025-05-23T00:38:02.954Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > What career regrets do you have?
what-ifs,L7MzrMYEdKIN6oKQm34k,What ifs,what-ifs,What ifs,4,2025-05-23T00:38:19.834Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > How did you prepare for change? > What ifs
what-innovations-did-you-drive,uwWHp5wmZMBKqtIhcL5Q,What innovations did you drive?,what-innovations-did-you-drive,What innovations did you drive?,3,2025-05-23T00:38:19.902Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > What innovations did you drive?
what-is-your-best-advice-for,eFATlmIznTam7139Is3h,What is your best advice for ones career?,what-is-your-best-advice-for,What is your best advice for ones career?,3,2025-05-23T00:37:46.184Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > What is your best advice for ones career?
what-principles-guided-your,MIx1vBMsiC1Yxo72PqqD,What principles guided your leadership?,what-principles-guided-your,What principles guided your leadership?,3,2025-05-23T00:38:22.764Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > What principles guided your leadership?
what-satisfaction-did-you-find,n5nq41laIJCGQVerXPQ8,What satisfaction did you find?,what-satisfaction-did-you-find,What satisfaction did you find?,3,2025-05-23T00:38:17.948Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > What satisfaction did you find?
what-was-your-most-significant,g65S2tC1y0jjqkKmdhC6,What was your most significant challenge?,what-was-your-most-significant,What was your most significant challenge?,3,2025-05-23T00:38:05.581Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > What was your most significant challenge?
which-was-your-best-job,Cie9afGaYaASEHdo00JO,Which was your best job,which-was-your-best-job,Which was your best job,3,2025-05-23T00:38:14.755Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > Which was your best job
which-was-your-worst-job,8b1mUv3SWfSo0FOj2nB7,Which was your worst job?,which-was-your-worst-job,Which was your worst job?,3,2025-05-23T00:38:15.294Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > Which was your worst job?
who-was-your-best-boss,OW4MxE5WnuEy6OZfHO0y,Who was your best boss,who-was-your-best-boss,Who was your best boss,3,2025-05-23T00:37:55.972Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > Who was your best boss
who-was-your-worst-boss,wDY9GqUaHjhqyNZ1Loip,Who was your worst boss?,who-was-your-worst-boss,Who was your worst boss?,3,2025-05-23T00:37:41.748Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > Who was your worst boss?
workplace-reality,8gbkjkpZsREP040DPnmK,Workplace Reality,workplace-reality,Workplace Reality,4,2025-05-23T00:37:48.579Z,,,Career,,Self,2,Career,55,,,Reflection,Adulthood > Career Reflection > What career regrets do you have? > Workplace Reality
ill-advised-acquisition,06mYMoS2tRHdaIWVtt91,Ill-Advised Acquisition,ill-advised-acquisition,Ill-Advised Acquisition,4,2025-05-23T00:38:06.048Z,,,Caribiner,,Self,2,Caribiner,60,,,Story,Adulthood > Career > Caribiner > Ill-Advised Acquisition
vice-president-finance-cfo,E2em9MEFfKkh7jZNbogm,"Vice President, Finance, CFO",vice-president-finance-cfo,"Vice President, Finance, CFO",4,2025-05-23T00:38:01.948Z,,,Caribiner,,Self,2,Caribiner,60,,,Story,"Adulthood > Career > Caribiner > Vice President, Finance, CFO"
audi,7FF4MrBVGvLiiX8VUQyK,Audi,audi,Audi,4,2025-05-23T00:37:55.299Z,,,Cars,,Self,2,Cars,68,,,Story,"THEMES > Cars > How did you learn to
drive? > Audi"
first-accident,sYHslUjHHhrHB1m6ZdG8,"First
Accident",first-accident,"First
Accident",4,2025-05-23T00:37:49.173Z,,,Cars,,Self,2,Cars,68,,,Story,"THEMES > Cars > �What was your first car? > First
Accident"
gas-money,t3OUcueRrmOp3A6ngecL,Gas Money,gas-money,Gas Money,4,2025-05-23T00:38:15.613Z,,,Cars,,Self,2,Cars,68,,,Story,THEMES > Cars > �What was your first car? > Gas Money
how-did-you-learn-to-drive,fKT9maYSWzaAGaKVnbDc,"How did you learn to
drive?",how-did-you-learn-to-drive,"How did you learn to
drive?",3,2025-05-23T00:37:50.740Z,,,Cars,,Self,2,Cars,68,,,Story,"THEMES > Cars > How did you learn to
drive?"
what-was-your-first-car,fSsExIQ9gL1VCBszU35o,�What was your first car?,what-was-your-first-car,�What was your first car?,3,2025-05-23T00:38:11.299Z,,,Cars,,Self,2,Cars,68,,,Story,THEMES > Cars > �What was your first car?
poor-dog,ALnWoTyZPDDu5SMwhN7L,Poor Dog,poor-dog,Poor Dog,4,2025-05-23T00:37:40.559Z,,,Cars,,Self,2,Cars,68,,,Story,THEMES > Cars > What accidents have you had? > Poor Dog
second-car,FmOVRQmab9GxEdpGB7If,Second Car,second-car,Second Car,4,2025-05-23T00:38:04.810Z,,,Cars,,Self,2,Cars,68,,,Story,THEMES > Cars > �What was your first car? > Second Car
stolen-battery,NheK95PvWmY1u4GX5Zru,"Stolen
Battery",stolen-battery,"Stolen
Battery",4,2025-05-23T00:37:37.861Z,,,Cars,,Self,2,Cars,68,,,Story,"THEMES > Cars > �What was your first car? > Stolen
Battery"
thanksgiving-deer,0rS9GQFvlhqqgtlrQpit,Thanksgiving Deer,thanksgiving-deer,Thanksgiving Deer,4,2025-05-23T00:38:22.608Z,,,Cars,,Self,2,Cars,68,,,Story,THEMES > Cars > What accidents have you had? > Thanksgiving Deer
the-end-of-my-first-car,RB94dfzmcrN7GpdNV9QM,"The End of
My First Car",the-end-of-my-first-car,"The End of
My First Car",4,2025-05-23T00:38:13.593Z,,,Cars,,Self,2,Cars,68,,,Story,"THEMES > Cars > �What was your first car? > The End of
My First Car"
the-station-wagon,LGMYh3LwnclxHnx8k7ob,The Station Wagon,the-station-wagon,The Station Wagon,4,2025-05-23T00:37:50.891Z,,,Cars,,Self,2,Cars,68,,,Story,THEMES > Cars > What accidents have you had? > The Station Wagon
the-firebird,4NfHYXowsbI9CDaGcQSI,"The
Firebird",the-firebird,"The
Firebird",4,2025-05-23T00:38:23.938Z,,,Cars,,Self,2,Cars,68,,,Story,"THEMES > Cars > How did you learn to
drive? > The
Firebird"
what-accidents-have-you-had,qSBINOYz5AHYa1eME56Q,What accidents have you had?,what-accidents-have-you-had,What accidents have you had?,3,2025-05-23T00:37:47.432Z,,,Cars,,Self,2,Cars,68,,,Story,THEMES > Cars > What accidents have you had?
what-car-trouble-have-you-had,kAOdeE2PwhJioMsVQeFl,What car trouble have you had?,what-car-trouble-have-you-had,What car trouble have you had?,3,2025-05-23T00:37:59.315Z,,,Cars,,Self,2,Cars,68,,,Story,THEMES > Cars > What car trouble have you had?
do-you-consider-your-childhood,jidjn56SxpPxEslQDXok,"Do you consider your
childhood to have been a happy one?",do-you-consider-your-childhood,"Do you consider your
childhood to have been a happy one?",3,2025-05-23T00:38:31.534Z,,,Childhood Reflection,,Self,2,Personal,29,,,Reflection,"Preschool > Childhood Reflection > Do you consider your
childhood to have been a happy one?"
1982-was-a-very-good-year,YiaPSegJ7OzWch4ysSXv,1982 was a very good year!,1982-was-a-very-good-year,1982 was a very good year!,4,2025-05-23T00:38:32.432Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > What traditions did you participate in? > 1982 was a very good year!
academic-turnaround,PM0HGxeMVLkm2iYkbYZT,Academic Turnaround,academic-turnaround,Academic Turnaround,4,2025-05-23T00:38:10.633Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > What memories do you have of college? > Academic Turnaround
arrogance-cost-me,PTEtH3AjRvn7L15hx33C,Arrogance Cost Me,arrogance-cost-me,Arrogance Cost Me,4,2025-05-23T00:38:13.776Z,,,College,,Self,2,College,47,,,Story,"Adulthood > College > Why
did you transfer to Clemson? > Arrogance Cost Me"
best-shape-of-my-life,KHaKQHi7dQN4AHK3X9ta,Best Shape of My Life,best-shape-of-my-life,Best Shape of My Life,4,2025-05-23T00:37:59.393Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > What memories do you have of college? > Best Shape of My Life
did-you-go-to-college,40PEgPLImpvgKzbNqh46,Did you go to college?,did-you-go-to-college,Did you go to college?,3,2025-05-23T00:37:42.114Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > Did you go to college?
did-you-join-a-fraternity-in,Nl57AVrPHIjgB3A3zdLH,Did you join a fraternity in college?,did-you-join-a-fraternity-in,Did you join a fraternity in college?,3,2025-05-23T00:38:09.533Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > Did you join a fraternity in college?
did-you-work-in-college,PPwutq9USYdnHKGuxfWZ,Did you work in college?,did-you-work-in-college,Did you work in college?,3,2025-05-23T00:37:50.203Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > Did you work in college?
first-dorm,LIgBmr03bW7t6AoGEKL5,First Dorm,first-dorm,First Dorm,4,2025-05-23T00:37:40.954Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > What memories do you have of college? > First Dorm
first-heartbreak,daOzCgkL1hzgBVmSJmDy,First Heartbreak,first-heartbreak,First Heartbreak,4,2025-05-23T00:37:53.612Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > What memories do you have of college? > First Heartbreak
first-night,uZXjLjaC95QSXM9PytLM,First Night,first-night,First Night,4,2025-05-23T00:38:06.802Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > What memories do you have of college? > First Night
green-hole,SWkyD8NKJDwtO8TE7U6q,Green Hole,green-hole,Green Hole,4,2025-05-23T00:38:08.601Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > What memories do you have of college? > Green Hole
how-did-college-shape-you,Kbf2C24AecQyGfyFL4Ph,How did college shape you?,how-did-college-shape-you,How did college shape you?,3,2025-05-23T00:38:32.904Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > How did college shape you?
how-did-you-decide-to-go-to,Fpftl8Dg1WOHFXkAwHqD,How did you decide to go to college?,how-did-you-decide-to-go-to,How did you decide to go to college?,3,2025-05-23T00:37:44.247Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > How did you decide to go to college?
how-did-you-decide-where-to-go,IIt92bqXhZSXPNlerN1K,How did you decide where to go to college?,how-did-you-decide-where-to-go,How did you decide where to go to college?,3,2025-05-23T00:38:16.818Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > How did you decide where to go to college?
how-did-your-academic,5d3uOXNQXzdpaZUvWHgm,How did your academic interests evolve?,how-did-your-academic,How did your academic interests evolve?,3,2025-05-23T00:38:12.525Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > How did your academic interests evolve?
kappa-sigma,yGzzOrOk1BuFMRGMCpdQ,Kappa Sigma,kappa-sigma,Kappa Sigma,4,2025-05-23T00:37:49.649Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > What memories do you have of college? > Kappa Sigma
kappa-sigma-round-2,vW9EpR8UUnoSv5TNYhxd,Kappa Sigma � Round 2,kappa-sigma-round-2,Kappa Sigma � Round 2,4,2025-05-23T00:38:13.435Z,,,College,,Self,2,College,47,,,Story,"Adulthood > College > Why
did you transfer to Clemson? > Kappa Sigma � Round 2"
keg-toss-champion,pZVS7V15gxXSPZqi9jL5,Keg Toss Champion,keg-toss-champion,Keg Toss Champion,4,2025-05-23T00:38:05.807Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > Where did you live during college? > Keg Toss Champion
late-night-exploring,IF1bFvLhLxugHBPlOk0K,Late Night Exploring,late-night-exploring,Late Night Exploring,4,2025-05-23T00:38:17.783Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > What memories do you have of college? > Late Night Exploring
lost-credits,GY0NIge8FdhQTa3wt0XM,Lost Credits,lost-credits,Lost Credits,4,2025-05-23T00:37:48.941Z,,,College,,Self,2,College,47,,,Story,"Adulthood > College > Why
did you transfer to Clemson? > Lost Credits"
missed-being-grand-master,yGzW5kG2z5Qmgm0d5QBo,Missed Being Grand Master,missed-being-grand-master,Missed Being Grand Master,4,2025-05-23T00:38:10.318Z,,,College,,Self,2,College,47,,,Story,"Adulthood > College > Why
did you transfer to Clemson? > Missed Being Grand Master"
mistaken-bravado,Aep8VqETjMSNgdc0lg2g,Mistaken Bravado,mistaken-bravado,Mistaken Bravado,4,2025-05-23T00:37:59.698Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > Where did you live during college? > Mistaken Bravado
move-in,Tm2K7wyIgr9z9Pk1PBQ1,Move-In,move-in,Move-In,4,2025-05-23T00:38:24.685Z,,,college,,Self,2,college,47,,,Story,Adulthood > College > What memories do you have of college? > Move-In
muhammad-ali-fight,fX8BTS8AnTbMR8mVmqAN,Muhammad Ali Fight,muhammad-ali-fight,Muhammad Ali Fight,4,2025-05-23T00:37:43.674Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > What memories do you have of college? > Muhammad Ali Fight
nicknames,7HRkwyfkBlzajnGUZJID,Nicknames,nicknames,Nicknames,4,2025-05-23T00:38:21.947Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > Where did you live during college? > Nicknames
nicknames,FxXTkEkWNneCUC6drtRy,Nicknames,nicknames,Nicknames,4,2025-05-23T00:38:23.682Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > Where did you live during college? > Nicknames
orange-bowl,PV603N3vAvdA8ijLf8kB,Orange Bowl,orange-bowl,Orange Bowl,4,2025-05-23T00:37:58.179Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > Where did you live during college? > Orange Bowl
panty-raids,SSAi4DqBbReOV89sTB08,Panty Raids,panty-raids,Panty Raids,4,2025-05-23T00:38:11.466Z,,,college,,Self,2,college,47,,,Story,Adulthood > College > What memories do you have of college? > Panty Raids
pledging,n91VPLr1CMmpiFhke7JT,Pledging,pledging,Pledging,4,2025-05-23T00:37:52.348Z,,,College,,Self,2,College,47,,,Story,"Adulthood > College > Why
did you transfer to Clemson? > Pledging"
poor-study-skills,ygbIQFci1OH0rV4wWnqT,Poor Study Skills,poor-study-skills,Poor Study Skills,4,2025-05-23T00:38:27.813Z,,,college,,Self,2,college,47,,,Story,Adulthood > College > What memories do you have of college? > Poor Study Skills
scheduling,Q9SRrVATSwlTdF8zm3vH,Scheduling,scheduling,Scheduling,4,2025-05-23T00:38:30.529Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > What memories do you have of college? > Scheduling
she-broke-up-with-me,zlKJpqzWfrM1TbOQOXPw,She Broke Up With Me,she-broke-up-with-me,She Broke Up With Me,4,2025-05-23T00:38:23.259Z,,,College,,Self,2,College,47,,,Story,THEMES > Blessings > What were your disappointments? > She Broke Up With Me
the-bookstore,31SkXB7fZ0dELXjCXg0P,The Bookstore,the-bookstore,The Bookstore,4,2025-05-23T00:38:00.165Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > What memories do you have of college? > The Bookstore
the-phone-recovery,51ooZ2ITCy4UUTGtifKw,The Phone Recovery,the-phone-recovery,The Phone Recovery,4,2025-05-23T00:38:00.393Z,,,College,,Self,2,College,47,,,Story,"Adulthood > College > Why
did you transfer to Clemson? > The Phone Recovery"
the-1970-s,4Q6SmvjJLhnnSPNIQ3o7,"The
1970�s",the-1970-s,"The
1970�s",4,2025-05-23T00:38:31.858Z,,,College,,Self,2,College,47,,,Story,"Adulthood > College > What memories do you have of college? > The
1970�s"
transfer-to-clemson,Ona2xYVIaoGq4AcgpSpu,Transfer to Clemson,transfer-to-clemson,Transfer to Clemson,4,2025-05-23T00:37:47.980Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > What memories do you have of college? > Transfer to Clemson
were-the-classes-hard,RlbS60mo8stUYJnnaSpn,Were the classes hard?,were-the-classes-hard,Were the classes hard?,3,2025-05-23T00:37:39.777Z,,,College,,Self,2,College,47,,,Story,Adulthood > College > Were the classes hard?
