Readable ID,Firestore ID,Title,Category Readable ID,Category Name,Category Level,Date,Tags,About,,Who-code,What-code,When-code,Type,Recommended Category
did-you-ever-get-in-trouble-at,bC8APiEOmQncI3VuSlsI,"Did you ever get in
trouble at school as a child?",did-you-ever-get-in-trouble-at,"Did you ever get in
trouble at school as a child?",3,2025-05-23T00:37:45.700Z,,,Elementary,2,41,,Story,
what-do-you-know-about-the,dZV3F4pO9lr50zKdRpP9,What do you know about the family origins?,what-do-you-know-about-the,What do you know about the family origins?,3,2025-05-23T00:37:37.861Z,,,Family names,2,32,,Story,
what-traditions-did-you,h3NA1NDtY9wZnz8ELxtA,What traditions did you participate in?,what-traditions-did-you,What traditions did you participate in?,3,2025-05-23T00:37:58.085Z,,,Family Names,2,32,,Story,
what-qualities-did-you-get,gEHiCbSV9lHVXsERbrVM,What qualities did you get from your father?,what-qualities-did-you-get,What qualities did you get from your father?,3,2025-05-23T00:37:39.363Z,,,Father,5,,,Story,
what-beliefs-or-values-did-he,hx0Qs7bIc1mkFbqXsNnq,What beliefs or values did he instill in you?,what-beliefs-or-values-did-he,What beliefs or values did he instill in you?,3,2025-05-23T00:37:38.515Z,,,Father,5,,,Story,
what-are-your-views-on-money,OgxhtT8cwYOraeTAsScz,What are your views on money?,what-are-your-views-on-money,What are your views on money?,3,2025-05-23T00:38:09.298Z,,,Financial,2,,,Story,
what-reflections-do-you-have,p6diYezHpguIZvPxIYhp,What reflections do you have about your grandparents?,what-reflections-do-you-have,What reflections do you have about your grandparents?,3,2025-05-23T00:37:41.890Z,,,Grandparents,7,,,Story,
did-you-participate-in-high,vFussFH8Clr9c1npFjd3,"Did
you participate in high school sports?",did-you-participate-in-high,"Did
you participate in high school sports?",3,2025-05-23T00:37:52.575Z,,,High School,2,43,,Story,
marriage,FJ06XSiOZfLwfd9vAYqx,Marriage,marriage,Marriage,3,2025-05-23T00:38:05.655Z,,,Marriage,2,50,,Story,
what-was-your-least-favorite,E4jIUcPmQj9bDBdyIkr8,What was your least favorite class?,what-was-your-least-favorite,What was your least favorite class?,3,2025-05-23T00:37:53.857Z,,,Miscellaneous,2,85,,Story,
have-you-ever-broken-a-bone,IuBDsfigwk37fgl88zXU,Have you ever broken a bone?,have-you-ever-broken-a-bone,Have you ever broken a bone?,3,2025-05-23T00:38:20.215Z,,,Miscellaneous,2,85,,Story,
what-is-your-best-advice-when,Yuba3iMmabwz2HQHzfWS,"What is your best
advice when it comes to work?",what-is-your-best-advice-when,"What is your best
advice when it comes to work?",3,2025-05-23T00:38:08.847Z,,,Miscellaneous,2,85,,Story,
what-was-she-like-when-she-was,pQkH6FD9FiB1Sg5iQFQs,What was she like when she was younger?,what-was-she-like-when-she-was,What was she like when she was younger?,3,2025-05-23T00:37:40.015Z,,,Mother,6,,,Story,
what-did-you-listen-to-over,EX6a7kHLiTP10sEED3Fh,What did you listen to over the years?,what-did-you-listen-to-over,What did you listen to over the years?,3,2025-05-23T00:38:16.100Z,,,Music,2,80,,Story,
what-are-your-happiest-moments,VfQayeFIa1QWQam54vgY,What are your happiest moments?,what-are-your-happiest-moments,What are your happiest moments?,3,2025-05-23T00:38:24.685Z,,,Personal Reflection,2,29,,Reflection,
what-inventions-have-had-the,yCZR7fybKBl2W6p1brcS,"What inventions have had the biggest impact
on your day-to-day life?",what-inventions-have-had-the,"What inventions have had the biggest impact
on your day-to-day life?",3,2025-05-23T00:38:15.294Z,,,Science & Technology,2,77,,Story,
what-was-it-like-being-so,PIu6guIHpUIICxM5evPk,What was it like being so close in age?,what-was-it-like-being-so,What was it like being so close in age?,3,2025-05-23T00:37:41.186Z,,,Siblings,13,,,Story,
how-have-sports-influenced,Yj0POIKznFhfPR0nqDic,How have sports influenced your life?,how-have-sports-influenced,How have sports influenced your life?,3,2025-05-23T00:38:11.466Z,,,Sports,2,67,,Story,
what-cartoons-did-you-watch-as,3pUojqhevR0air4MPNCr,What cartoons did you watch as a kid?,what-cartoons-did-you-watch-as,What cartoons did you watch as a kid?,3,2025-05-23T00:38:18.188Z,,,Television,2,84,,Story,
have-you-ever-missed-a-flight,owOvFHG96qIf2puxHmvu,Have you ever missed a flight?,have-you-ever-missed-a-flight,Have you ever missed a flight?,3,2025-05-23T00:38:17.628Z,,,Travel,2,66,,Story,
what-world-events-do-you,rFuTxOyImrgS8QbUBxJT,What world events do you remember?,what-world-events-do-you,What world events do you remember?,3,2025-05-23T00:37:51.596Z,,,World & Politics,2,76,,Story,
