Readable ID,Firestore ID,Name,Category Level,Display Level,Parent Readable ID,Parent Name,Order,Full Path
who-were-your-role-models,24YKaQHCXPVx3UOuDIPU,"Who were your role models?",3,3,elementary-school,"Elementary School",14,"Preschool > Elementary School > Who were your role models?"
what-chores-did-you-have,2AVy5jebdAQyCc4dYmBj,"What chores did you have?",3,3,elementary-school,"Elementary School",17,"Preschool > Elementary School > What chores did you have?"
government-waste,2IPk5XyDt3Wzi60AHbkV,"Government Waste",4,4,university-of-south-carolina,"University of South Carolina",7,"Adulthood > Career > University of South Carolina > Government Waste"
we-moved-again,2IVsFYavR99hzdpl9zcL,"We Moved Again",4,4,what-are-your-views-on-money,"What are your views on money?",8,"THEMES > Financial > What are your views on money? > We Moved Again"
dad-s-first-and-last-deer,2KCan6QinfcQRX9gjHbI,"Dad�s First and Last Deer",4,4,what-do-you-remember-outside,"What do you remember outside of school about this time?",30,"Preschool > Elementary School > What do you remember outside of school about this time? > Dad�s First and Last Deer"
clemson-football-games,2LvI65Ues95OwaKdQlGG,"Clemson Football Games",4,4,vacations,"Vacations",10,"THEMES > Vacations > Clemson Football Games"
how-did-you-get-to-middle,2OExCqzHOVnF6IJhzSok,"How did you get to middle school?",3,3,middle-school,"Middle School",1,"Preschool > Middle School > How did you get to middle school?"
poor-frog,2SKKzxcpmaYGxla4T0jS,"Poor Frog",4,4,what-do-you-remember-outside,"What do you remember outside of school about this time?",29,"Preschool > Elementary School > What do you remember outside of school about this time? > Poor Frog"
do-you-believe-in-life-after,2Sitb6e9Ji8fsjlxhaSP,"Do you believe in life
after death?",3,3,miscellaneous,"Miscellaneous",2,"THEMES > Miscellaneous > Do you believe in life
after death?"
business,2T2wTZSX64CUvjFunqFy,"Business",3,3,the-1960-s,"The 1960�s",1,"The Decades > The 1960�s > Business"
2016,2TB7cPugpRLnY8KtPAJx,"2016",4,4,business,"Business",6,"The Decades > The 2010�s > Business > 2016"
what-was-daily-family-life,2U0m34482ZTs7f5HQfNq,"What was daily family life like?",3,3,parenthood,"Parenthood",23,"Adulthood > Parenthood > What was daily family life like?"
don-t-say-bad-words,2UF2F5echC9LnBvb4Amn,"Don�t Say Bad Words",4,4,what-do-you-remember-from-this,"What do you remember from this period?",3,"Preschool > What do you remember from this period? > Don�t Say Bad Words"
how-did-friendships-change,2WZLvk4kI1OHalgZLwOz,"How did friendships change?",3,3,childhood-reflection,"Childhood Reflection",43,"Preschool > Childhood Reflection > How did friendships change?"
what-career-goals-evolved,2XqZcIkt5dQBZL4JJIk9,"What career goals evolved?",3,3,career-reflection,"Career Reflection",40,"Adulthood > Career Reflection > What career goals evolved?"
what-lifestyle-choices-did-you,2Ybec99LQZrbiJwlBy9i,"What lifestyle choices did you make?",3,3,childhood-reflection,"Childhood Reflection",24,"Preschool > Childhood Reflection > What lifestyle choices did you make?"
what-achievements-meant-most,2d9fXQV3oVyuo8quNlqy,"What achievements meant most?",3,3,career-reflection,"Career Reflection",48,"Adulthood > Career Reflection > What achievements meant most?"
what-risks-did-you-take,2myzR32O2hkJG6CNSjWy,"What risks did you take?",3,3,financial,"Financial",14,"THEMES > Financial > What risks did you take?"
1974,2nhh8iAFPo87MGHa2x5f,"1974",4,4,the-1970-s-economics,"The 1970�s - Economics",4,"The Decades > The 1970�s - Economics > 1974"
i-wasn-t-very-good,2nrjJN1YNb1vSFPW3pkR,"I Wasn�t Very Good",4,4,how-have-sports-influenced,"How have sports influenced your life?",4,"THEMES > Sports > How have sports influenced your life? > I Wasn�t Very Good"
how-do-you-connect-with,2sCYwvAwvyRqf7qCqNl6,"How do you connect with grandchildren?",3,3,parenthood,"Parenthood",103,"Adulthood > Parenthood > How do you connect with grandchildren?"
cars,2vcEyjV8pOcujcuhEMX2,"Cars",2,2,themes,"THEMES",4,"THEMES > Cars"
who-was-your-paternal,2xRfamhyq81EqvoFvY12,"Who was your paternal grandmother?",3,3,my-paternal-grandmother,"My Paternal Grandmother",0,"Introduction > My Paternal Grandmother > Who was your paternal grandmother?"
how-do-you-prepare,2zB1L8qCpyXISZox3wTU,"How do you prepare?",3,3,the-future,"The Future",16,"Adulthood > The Future > How do you prepare?"
my-baseball-experience,2zweeC00qzE8Ir3mneIy,"My Baseball Experience",4,4,what-do-you-remember-outside,"What do you remember outside of school about this time?",41,"Preschool > Elementary School > What do you remember outside of school about this time? > My Baseball Experience"
how-did-you-grow-during-these,317lv08cw2jgLXQu2mgp,"How did you grow during these years?",3,3,parenthood,"Parenthood",57,"Adulthood > Parenthood > How did you grow during these years?"
silvia,327XK53PxQKXNHxi74Dk,"Silvia",4,4,how-did-you-choose-a-major,"How did you choose a major?",21,"Adulthood > Graduate School > How did you choose a major? > Silvia"
how-did-you-plan-for-future,3LWVLiAaa2BUZAMYh5L5,"How did you plan for future?",3,3,financial,"Financial",12,"THEMES > Financial > How did you plan for future?"
what-do-you-miss-about-the-old,3LgjtkAJKrVUXH2VPkri,"What do you miss about the 'old' days?",3,3,advice,"Advice",11,"THEMES > Advice > What do you miss about the 'old' days?"
what-do-you-want-to-be,3Pk4T0rJLJh8mkV1G0bl,"What do you want to be remembered for?",3,3,legacy,"Legacy",0,"THEMES > Legacy > What do you want to be remembered for?"
audi,3RfPrnAdvwet9EfjZLr8,"Audi",4,4,how-did-you-learn-to-drive,"How did you learn to
drive?",1,"THEMES > Cars > How did you learn to
drive? > Audi"
transfer-to-clemson,3UZIk3BKOQehwPO5Qckq,"Transfer to Clemson",4,4,what-memories-do-you-have-of,"What memories do you have of college?",14,"Adulthood > College > What memories do you have of college? > Transfer to Clemson"
what-matters-most-now,3UtfCAKwwI9dyxgQWPxT,"What matters most now?",3,3,reflection,"Reflection",4,"THEMES > Reflection > What matters most now?"
what-relationship-lessons,3Xtvs1vZGn4hgoqmHXtf,"What relationship lessons emerged?",3,3,parenthood,"Parenthood",71,"Adulthood > Parenthood > What relationship lessons emerged?"
what-wisdom-might-help,3iGJAhRtT4UiekRm2QuU,"What wisdom might help?",3,3,era-overview,"Era Overview",19,"THEMES > Era Overview > What wisdom might help?"
what-international-experience,3jnWPAnRT9pVVchw6pR3,"What international experience did you gain?",3,3,career-reflection,"Career Reflection",32,"Adulthood > Career Reflection > What international experience did you gain?"
what-was-happening-in-the,3mmJQ7iLDPey595Uf7Cx,"What was happening in the world when you were born?",3,3,my-birth,"My Birth",7,"Introduction > My Birth > What was happening in the world when you were born?"
what-traditions-became,3qxOGeJY4wEeFRNUqVDH,"What traditions became important?",3,3,parenthood,"Parenthood",31,"Adulthood > Parenthood > What traditions became important?"
1981,3sAsOwp0ffyGcPtO7hVE,"1981",4,4,business,"Business�",1,"The Decades > The 1980�s > Business� > 1981"
what-do-you-remember-from-this,3x7ECRXvd7hMv8ZyPSiO,"What do you remember from this period?",3,3,preschool,"Preschool",0,"Preschool > What do you remember from this period?"
best-days,40xmbGIXktKJy8B3K1eL,"Best days",3,3,miscellaneous,"Miscellaneous",20,"THEMES > Miscellaneous > Best days"
1990,49WKHZmiEcuJOfkGN0Df,"1990",4,4,the-1990-s,"The 1990�s",0,"The Decades > The 1990�s > 1990"
where-was-your-mother-born,4A4PV61gNhR2PvulUCIR,"Where was your mother born?",3,3,my-mother,"My Mother",1,"Introduction > My Mother > Where was your mother born?"
who-was-your-worst-boss,4CnzUx6UMhJCcRb8sZfz,"Who was your worst boss?",3,3,career-reflection,"Career Reflection",15,"Adulthood > Career Reflection > Who was your worst boss?"
what-was-your-favorite-class,4IDjgwXxh4NFBauJHm1m,"What was your favorite class?",3,3,high-school,"High School",11,"Preschool > High School > What was your favorite class?"
1971,4L2UI58mmNxuxhskWYCu,"1971,",4,4,the-1970-s-economics,"The 1970�s - Economics",1,"The Decades > The 1970�s - Economics > 1971,"
what-decisions-had-lasting,4PXTLHmWUiNWQC9R2Kfz,"What decisions had lasting impact?",3,3,parenthood,"Parenthood",89,"Adulthood > Parenthood > What decisions had lasting impact?"
good-morning-teacher,4V7gIg4hLXxllXDq8tMe,"Good Morning Teacher",4,4,what-do-you-remember-from-this,"What do you remember from this period?",6,"Preschool > What do you remember from this period? > Good Morning Teacher"
care-for-others,4VkSTcbDR49GA1kS5Q2T,"Care for Others",4,4,what-qualities-did-you-get,"What qualities did you get from your father?",0,"Introduction > My Father > What qualities did you get from your father? > Care for Others"
what-social-issues-mattered,4ZjOQc6MYAV7dBrnoCxP,"What social issues mattered?",3,3,parenthood,"Parenthood",83,"Adulthood > Parenthood > What social issues mattered?"
what-matters-most,4b7A3OuL3I38bp9MUtbR,"What matters most?",3,3,legacy,"Legacy",7,"THEMES > Legacy > What matters most?"
what-role-did-you-play-in,4egOHia0wmMrofPm0HaB,"What role did you play in their lives?",3,3,parenthood,"Parenthood",98,"Adulthood > Parenthood > What role did you play in their lives?"
what-moves-have-you-made,4epyozWpn20OipaRQvY2,"What moves have you made?",3,3,moves,"Moves",0,"THEMES > Moves > What moves have you made?"
what-are-you-most-proud-of,4ifPdimyEBTqfWgrTsE8,"What are you most proud of?",3,3,legacy,"Legacy",8,"THEMES > Legacy > What are you most proud of?"
were-you-shy-or-outgoing,4kXbsQJdWUOxNGpocRaC,"Were you shy or outgoing?",3,3,elementary-school,"Elementary School",21,"Preschool > Elementary School > Were you shy or outgoing?"
what-lifestyle-priorities,4ohvAqp3r359Mcs99lRA,"What lifestyle priorities emerged?",3,3,parenthood,"Parenthood",42,"Adulthood > Parenthood > What lifestyle priorities emerged?"
my-maternal-grandfather,4wyAJEfa5B2761vMEaOk,"My Maternal Grandfather",2,2,introduction,"Introduction",12,"Introduction > My Maternal Grandfather"
what-concerns-remain,4wylDJqRe4EZwirSlTX2,"What concerns remain?",3,3,era-overview,"Era Overview",14,"THEMES > Era Overview > What concerns remain?"
what-ethical-challenges-arose,4x6QgSRd2fYrDAMhmjIb,"What ethical challenges arose?",3,3,childhood-reflection,"Childhood Reflection",9,"Preschool > Childhood Reflection > What ethical challenges arose?"
what-challenges-did-you,4y5tkmT1BjmGpUPZfxai,"What challenges did you overcome?",3,3,career-reflection,"Career Reflection",59,"Adulthood > Career Reflection > What challenges did you overcome?"
what-is-the-story-behind-the,51UiISEb59TASvAGrTob,"What is the story behind the family names?",3,3,family-names,"Family Names",0,"Introduction > Family Names > What is the story behind the family names?"
what-opportunities-arose,5242pYeBwiJoIzAdjFNY,"What opportunities arose?",3,3,career-reflection,"Career Reflection",42,"Adulthood > Career Reflection > What opportunities arose?"
moving-to-cleveland-street,52Xp2QduPdlB9frdlbbs,"Moving to Cleveland Street",4,4,what-extracurricular,"What extracurricular activities did you join?",5,"Preschool > Middle School > What extracurricular activities did you join? > Moving to Cleveland Street"
what-elementary-school-did-you,52mva2civuyQTvvgJwIv,"What
elementary school did you attend?",3,3,elementary-school,"Elementary School",0,"Preschool > Elementary School > What
elementary school did you attend?"
what-do-you-admire-most-about,52uzYf1ezmm3Gqi3epzv,"What do you admire most about your father?",3,3,my-father,"My Father",7,"Introduction > My Father > What do you admire most about your father?"
what-makes-you-happy,55ZMlpoCMR7cxWFPXrNT,"What makes you Happy?",3,3,miscellaneous,"Miscellaneous",29,"THEMES > Miscellaneous > What makes you Happy?"
what-were-your-plans-for-the,57gw95RN7z8coodqfhe4,"What were your plans for the future?",3,3,high-school,"High School",19,"Preschool > High School > What were your plans for the future?"
what-professional-challenges,59IzaKdwueA0teoYyNrj,"What professional challenges did you face?",3,3,career-reflection,"Career Reflection",26,"Adulthood > Career Reflection > What professional challenges did you face?"
casualty-reports,5DLJh8ICIxrTi4Px2PGp,"Casualty Reports",4,4,what-world-events-do-you,"What world events do you remember?",0,"Preschool > Middle School > What world events do you remember? > Casualty Reports"
the-business-grew,5DZMePZPQTGgEfb4mqS6,"The Business Grew",4,4,what-are-your-views-on-money,"What are your views on money?",7,"THEMES > Financial > What are your views on money? > The Business Grew"
myrtle-monsters,5GB59g0NrOJWBd0zpkCN,"Myrtle Monsters",4,4,vacations,"Vacations",6,"THEMES > Vacations > Myrtle Monsters"
was-there-anything-unique,5GefwcK4Z7kjayaGaEvU,"Was there anything unique about it?",3,3,high-school,"High School",2,"Preschool > High School > Was there anything unique about it?"
bicycles-in-the-mud,5RiV4cz6aVtYjoRwKop0,"Bicycles in the Mud",4,4,what-do-you-remember-outside,"What do you remember outside of school about this time?",24,"Preschool > Elementary School > What do you remember outside of school about this time? > Bicycles in the Mud"
what-wisdom-would-you-share,5ih6Mzql0WK7jSizjtth,"What wisdom would you share?",3,3,reflection,"Reflection",3,"THEMES > Reflection > What wisdom would you share?"
1997,5k7wGzsLu1oDbUpDFczu,"1997",4,4,the-1990-s,"The 1990�s",7,"The Decades > The 1990�s > 1997"
when-did-they-get-married,5o8eX1TanXAlbyRyE0Ee,"When did they get married?",3,3,their-partnership,"Their Partnership",2,"Introduction > Their Partnership > When did they get married?"
financial-management,5r5YNKP5CipbGtc4AE4H,"Financial Management",3,3,financial,"Financial",16,"THEMES > Financial > Financial Management"
what-surprised-you-about-being,5x36YPhe1nKcqnAlLADp,"What surprised you about being a parent?",3,3,parenthood,"Parenthood",12,"Adulthood > Parenthood > What surprised you about being a parent?"
so-many-foreigners-here,633bYXnGEeZGXkbiAj3y,"So Many Foreigners Here",4,4,how-did-you-choose-a-major,"How did you choose a major?",11,"Adulthood > Graduate School > How did you choose a major? > So Many Foreigners Here"
what-rules-did-you-have,64eBdSa8FSUebel09DTp,"What rules did you have?",3,3,high-school,"High School",33,"Preschool > High School > What rules did you have?"
who-was-your-paternal,66UUAe9kIRhbkw2TpwnB,"Who
was your paternal grandfather?",3,3,my-paternal-grandfather,"My
Paternal Grandfather",0,"Introduction > My
Paternal Grandfather > Who
was your paternal grandfather?"
what-beliefs-do-you-have-that,69PuMxKEB6AVk8uNqDQ2,"What beliefs do you
have that are different than your parents�?",3,3,personal-reflection,"Personal Reflection",7,"Adulthood > Personal Reflection > What beliefs do you
have that are different than your parents�?"
what-legacy-do-you-want-to,6HV8908RmXmhtLq37LOL,"What legacy do you want to leave?",3,3,parenthood,"Parenthood",109,"Adulthood > Parenthood > What legacy do you want to leave?"
what-were-your-biggest-lessons,6JV6dedCl2O1txNScIOn,"What were your biggest lessons?",3,3,personal,"Personal",22,"THEMES > Personal > What were your biggest lessons?"
what-conflicts-do-you-remember,6Lbx6KXGMrnVpK916HFu,"What conflicts do you remember?",3,3,my-siblings,"My Siblings",9,"Introduction > My Siblings > What conflicts do you remember?"
masters,6PHQ1cuxe3ok3feE7iog,"Masters",4,4,what-is-your-favorite-sporting,"What is your favorite sporting event attended?",0,"THEMES > Sports > What is your favorite sporting event attended? > Masters"
what-financial-advice-helped,6QJc9ZISW7bzOBpncLNs,"What financial advice helped?",3,3,financial,"Financial",21,"THEMES > Financial > What financial advice helped?"
what-social-issues-concerned,6SFr36S4ohI8D6kJuZo0,"What social issues concerned you?",3,3,childhood-reflection,"Childhood Reflection",32,"Preschool > Childhood Reflection > What social issues concerned you?"
what-defined-this-period,6TFTBtGDAfHTenlITUGs,"What defined this period?",3,3,parenthood,"Parenthood",92,"Adulthood > Parenthood > What defined this period?"
current-focus,6UKjnlddFO8XrxEHLz9U,"Current Focus",3,3,the-future,"The Future",0,"Adulthood > The Future > Current Focus"
what-inspired-you,6WY0B6TkAj8y4n7cGbJW,"What inspired you?",3,3,childhood-reflection,"Childhood Reflection",16,"Preschool > Childhood Reflection > What inspired you?"
my-cousins,6YPMAKDSBh5IG86r8Irw,"My Cousins",2,2,introduction,"Introduction",8,"Introduction > My Cousins"
what-joys-did-you-experience,6d4lNfZtkK4V0GA4T4xq,"What joys did you experience?",3,3,parenthood,"Parenthood",100,"Adulthood > Parenthood > What joys did you experience?"
what-extracurricular,6eOcAdcqPufMcv8m05r9,"What extracurricular activities did you join?",3,3,middle-school,"Middle School",7,"Preschool > Middle School > What extracurricular activities did you join?"
what-is-your-favorite-season,6oXoAUw3UipzVO1R4Feo,"What is your favorite season?",3,3,miscellaneous,"Miscellaneous",18,"THEMES > Miscellaneous > What is your favorite season?"
television,6tbCgABO6fRbSG3XtOsu,"Television",2,2,themes,"THEMES",10,"THEMES > Television"
what-are-your-favorite,6xXQu4ieT5Jg4TnVN6NE,"What are your favorite Possessions?",3,3,miscellaneous,"Miscellaneous",32,"THEMES > Miscellaneous > What are your favorite Possessions?"
what-inventions-have-had-the,6yvVpCkALTtQWubQFp9M,"What inventions have had the biggest impact
on your day-to-day life?",3,3,technology,"Technology",1,"THEMES > Technology > What inventions have had the biggest impact
on your day-to-day life?"
my-bike,74nosl6iAIDlm8CHLZNU,"My Bike",4,4,what-do-you-remember-outside,"What do you remember outside of school about this time?",2,"Preschool > Elementary School > What do you remember outside of school about this time? > My Bike"
go-west-young-man,783X0Aa7HGs0i7hHIn9B,"Go West Young Man",4,4,what-stories-do-you-remember,"What stories do you remember about him?",2,"Introduction > My
Paternal Grandfather > What stories do you remember about him? > Go West Young Man"
politics,7HCGrDAXyjWvEOJJboAd,"Politics",2,2,themes,"THEMES",2,"THEMES > Politics"
jfk-assassination,7Jxd6SjAxZ3bh7k5FlsP,"JFK Assassination",4,4,society-culture,"Society & Culture",7,"The Decades > The 1960�s > Society & Culture > JFK Assassination"
what-social-activities,7MwSrLyC6yMt5GVwDbCs,"What social activities mattered?",3,3,parenthood,"Parenthood",46,"Adulthood > Parenthood > What social activities mattered?"
flower-festival,7RIXSEdhViq6nPa6RHlJ,"Flower
Festival",4,4,how-did-you-choose-a-major,"How did you choose a major?",19,"Adulthood > Graduate School > How did you choose a major? > Flower
Festival"
solitaire,7RJKV7L4iOgmTOS8DraC,"Solitaire",4,4,what-stories-do-you-remember,"What stories do you remember about him?",1,"Introduction > My
Paternal Grandfather > What stories do you remember about him? > Solitaire"
family,7S0RUA52WmH0Qgia8Rtn,"Family",2,2,adulthood,"Adulthood",4,"Adulthood > Family"
the-firebird,7Sjj73WGgegw1I2mgPcq,"The
Firebird",4,4,how-did-you-learn-to-drive,"How did you learn to
drive?",0,"THEMES > Cars > How did you learn to
drive? > The
Firebird"
new-musical-direction,7WvSRl845anBthO3IAF8,"New Musical Direction",4,4,what-extracurricular,"What extracurricular activities did you join?",0,"Preschool > Middle School > What extracurricular activities did you join? > New Musical Direction"
hotel-dann-phone-call,7XrS0LoFtxTi7ejfAlyj,"Hotel Dann Phone Call",4,4,how-did-you-choose-a-major,"How did you choose a major?",13,"Adulthood > Graduate School > How did you choose a major? > Hotel Dann Phone Call"
what-are-your-happiest-moments,7alt965Xw4Kss2HVD5ED,"What are your happiest moments?",3,3,advice,"Advice",6,"THEMES > Advice > What are your happiest moments?"
what-caution-did-not,7cCvF1UauoP2lAxGbc6z,"What caution did not?",3,3,personal,"Personal",6,"THEMES > Personal > What caution did not?"
which-was-your-worst-job,7hAWIwLE2nWG3luQF0p9,"Which was your worst job?",3,3,career-reflection,"Career Reflection",17,"Adulthood > Career Reflection > Which was your worst job?"
what-is-your-favorite-sports,7lj8ZuXBIIRTj7QwgfCB,"What is your favorite sports movie?",3,3,sports,"Sports",8,"THEMES > Sports > What is your favorite sports movie?"
pulmon,7nP7ASPcHimR4tpActBG,"Pulmon",4,4,how-did-you-choose-a-major,"How did you choose a major?",20,"Adulthood > Graduate School > How did you choose a major? > Pulmon"
friendship,7qNNXQgDf6jdOeSzlrI8,"Friendship",3,3,childhood-reflection,"Childhood Reflection",41,"Preschool > Childhood Reflection > Friendship"
what-beliefs-changed,7rcsSW1DXyzgGLffe9Gy,"What beliefs changed?",3,3,childhood-reflection,"Childhood Reflection",6,"Preschool > Childhood Reflection > What beliefs changed?"
how-did-relationships-change,7ryLtraYq9rNmuK7IPdn,"How did relationships change with mother, father, siblings?",3,3,childhood-reflection,"Childhood Reflection",49,"Preschool > Childhood Reflection > How did relationships change with mother, father, siblings?"
what-were-your-most-important,7sSXkiwzKmpnNEm5opPi,"What were your most important learnings?",3,3,career-reflection,"Career Reflection",20,"Adulthood > Career Reflection > What were your most important learnings?"
